country_code,postal_code,latitude,longitude,region_id
che,1589,6.9814,46.927,VD::Vully-les-Lacs::Chabrey
che,1595,7.0843,46.9041,VD;BE::Clavaleyres||Faoug
che,1607,6.8227,46.5484,VD::Oron::Palézieux||Palézieux-Village||Les Tavernes||Les Thioleyres
che,1608,6.8471,46.5772,FR;VD::Chapelle (Glâne);Oron::Chapelle (Glâne)||Oron-le-Châtel||Bussigny-sur-Oron||Chesalles-sur-Oron
che,1609,6.8768,46.5831,FR::Saint-Martin (FR)::St-Martin FR||Besencens||Fiaugères
che,1610,6.8165,46.5701,VD::Oron::Oron-la-Ville||Châtillens||Vuibroye
che,1611,6.9101,46.6089,FR::La Verrerie::Le Crêt-près-Semsales
che,1612,6.8623,46.5457,VD::Oron::Ecoteaux
che,1613,6.871,46.5497,VD::Maracon::1613
che,1614,6.8312,46.5247,FR::Granges (Veveyse)::1614
che,1615,6.8501,46.5218,FR::Bossonnens::1615
che,1616,6.8492,46.5108,FR::Attalens::1616
che,1617,6.8739,46.5269,FR::Attalens;Remaufens::Tatroz||Remaufens
che,1618,6.9011,46.5288,FR::Châtel-Saint-Denis::Châtel-St-Denis
che,1619,6.9441,46.5227,FR::Châtel-Saint-Denis::Les Paccots
che,1623,6.9277,46.5729,FR::Semsales::1623
che,1624,6.923,46.5908,FR::La Verrerie::La Verrerie||Grattavache||Progens||Progens
che,1625,6.9822,46.6371,FR::Sâles::Sâles (Gruyère)||Maules
che,1626,6.9609,46.6512,FR::Sâles::Romanens||Treyfayes||Rueyres-Treyfayes
che,1627,6.9932,46.6238,FR::Vaulruz::1627
che,1628,7.0191,46.6165,FR::Vuadens::1628
che,1630,7.0585,46.6203,FR::Bulle::1630
che,1632,7.0612,46.6415,FR::Riaz::1632
che,1633,7.0674,46.6573,FR::Marsens::Marsens||Vuippens
che,1634,7.138,46.6964,FR::La Roche::La Roche FR
che,1635,7.0662,46.6091,FR::Bulle::La Tour-de-Trême
che,1636,7.0995,46.605,FR::Broc::1636
che,1637,7.1628,46.6191,FR::Val-de-Charmey::Charmey (Gruyère)
che,1638,7.0878,46.6279,FR::Morlon::1638
che,1642,7.0603,46.6689,FR::Sorens::1642
che,1643,7.0768,46.677,FR::Pont-en-Ogoz::Gumefens
che,1644,7.0864,46.6872,FR::Pont-en-Ogoz::Avry-devant-Pont
che,1645,7.0836,46.7039,FR::Pont-en-Ogoz::Le Bry
che,1646,7.0756,46.6479,FR::Echarlens::1646
che,1647,7.1011,46.6614,FR::Corbières::1647
che,1648,7.1033,46.6709,FR::Hauteville::1648
che,1649,7.111,46.7001,FR::Pont-la-Ville::1649
che,1651,7.1073,46.6453,FR::Corbières::Villarvolard
che,1652,7.1108,46.6252,FR::Botterens::Botterens||Villarbeney
che,1653,7.1337,46.6161,FR::Châtel-sur-Montsalvens||Crésuz
che,1654,7.1568,46.6326,FR::Val-de-Charmey::Cerniat FR
che,1656,7.2554,46.6047,FR::Jaun::Jaun||Im Fang
che,1657,7.2928,46.577,BE::Saanen::Abländschen
che,1658,7.0653,46.4676,VD::Rossinière::Rossinière||La Tine
che,1659,7.1944,46.4855,VD::Rougemont::Rougemont||Flendruz
che,1660,7.1226,46.4447,VD::Château-d'Oex::Château-d'Oex||Les Moulins||L'Etivaz||La Lécherette
che,1661,7.0548,46.5944,FR::Le Pâquier (FR)::Le Pâquier-Montbarry
che,1663,7.0696,46.578,FR::Gruyères::Gruyères||Pringy||Epagny||Moléson-sur-Gruyères
che,1665,7.1017,46.5658,FR::Bas-Intyamon::Estavannens
che,1666,7.0776,46.5394,FR::Bas-Intyamon;Grandvillard::Grandvillard||Villars-sous-Mont
che,1667,7.0836,46.5663,FR::Bas-Intyamon::Enney
che,1669,7.0515,46.5062,FR::Haut-Intyamon::Albeuve||Lessoc||Les Sciernes-d'Albeuve||Neirivue||Montbovon
che,1670,6.8446,46.6376,FR::Ursy::Ursy||Bionnens||Esmonts
che,1673,6.8173,46.6,FR::Rue;Ecublens (FR);Auboranges::Auboranges||Ecublens FR||Promasens||Gillarens||Rue
che,1674,6.8259,46.6475,FR::Montet (Glâne);Ursy::Montet (Glâne)||Vuarmarens||Morlens
che,1675,6.8471,46.6148,FR::Rue;Ursy::Blessens||Vauderens||Mossel
che,1676,6.8977,46.6518,FR::Siviriez::Chavannes-les-Forts
che,1677,6.8745,46.6381,FR::Siviriez::Prez-vers-Siviriez
che,1678,6.8801,46.6579,FR::Siviriez::1678
che,1679,6.9129,46.6589,FR::Siviriez::Villaraboud
